epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8406,2.97372,5.25563,4.06264,0,0,0,0,2.64956,4.17093,4.07144,0.000118056,0.000118056,0.000118056
2,50.8234,2.77509,4.9978,3.52404,0.00717,0.79145,0.0426,0.00999,2.48118,4.05551,3.30032,0.000234709,0.000234709,0.000234709
3,75.5623,2.34158,4.42113,2.89937,0.0107,0.99359,0.16487,0.08369,1.80925,2.93928,2.47821,0.000349006,0.000349006,0.000349006
4,100.196,1.94142,3.8065,2.40923,0.39971,0.34134,0.27245,0.168,1.56337,2.42478,2.02713,0.000346397,0.000346397,0.000346397
5,124.849,1.77218,3.47827,2.17425,0.46391,0.41762,0.28089,0.15576,1.53469,2.50652,2.00502,0.000342863,0.000342863,0.000342863
6,149.396,1.67378,3.28296,2.0685,0.33048,0.58235,0.36454,0.25025,1.17774,2.09623,1.68189,0.000339329,0.000339329,0.000339329
7,173.979,1.5766,3.08888,1.963,0.28534,0.63623,0.47393,0.31057,1.30023,1.9582,1.7834,0.000335794,0.000335794,0.000335794
8,198.606,1.54262,2.95962,1.9112,0.61738,0.48275,0.48082,0.33953,1.13378,1.90583,1.72711,0.00033226,0.00033226,0.00033226
9,223.272,1.48278,2.81207,1.84792,0.36934,0.69116,0.5303,0.36013,1.17599,1.78373,1.62423,0.000328726,0.000328726,0.000328726
10,247.892,1.46822,2.67552,1.82218,0.43491,0.79469,0.63438,0.40296,1.33503,1.58806,1.72419,0.000325191,0.000325191,0.000325191
11,272.523,1.4424,2.55141,1.79222,0.53679,0.64721,0.6352,0.46254,1.08204,1.52289,1.56468,0.000321657,0.000321657,0.000321657
12,297.229,1.40819,2.47414,1.76984,0.43524,0.79095,0.63839,0.41973,1.20699,1.45643,1.61825,0.000318123,0.000318123,0.000318123
13,321.868,1.37552,2.33697,1.73191,0.46096,0.7684,0.71012,0.49755,1.13469,1.40199,1.56479,0.000314588,0.000314588,0.000314588
14,346.517,1.35061,2.28051,1.70767,0.6764,0.71023,0.73144,0.53627,1.06644,1.29968,1.53004,0.000311054,0.000311054,0.000311054
15,371.277,1.33497,2.22289,1.68022,0.61508,0.74496,0.77464,0.56949,1.05899,1.23186,1.49158,0.00030752,0.00030752,0.00030752
16,396.099,1.33597,2.15888,1.66652,0.52842,0.86371,0.72754,0.48605,1.28749,1.29246,1.64981,0.000303986,0.000303986,0.000303986
17,421.136,1.30317,2.08678,1.63977,0.74893,0.75654,0.78484,0.57511,1.05946,1.15545,1.50979,0.000300451,0.000300451,0.000300451
18,445.906,1.28744,2.0612,1.63678,0.68652,0.77777,0.78204,0.59061,0.98278,1.15634,1.44553,0.000296917,0.000296917,0.000296917
19,470.587,1.27089,2.0002,1.6172,0.57999,0.8732,0.80098,0.52856,1.27583,1.14505,1.6296,0.000293383,0.000293383,0.000293383
20,495.455,1.27382,1.97435,1.61799,0.65832,0.8228,0.83623,0.59846,1.10074,1.09215,1.49831,0.000289848,0.000289848,0.000289848
21,520.35,1.25192,1.95542,1.60602,0.58056,0.82451,0.78691,0.60117,0.96016,1.15736,1.44274,0.000286314,0.000286314,0.000286314
22,545.037,1.23096,1.91769,1.57694,0.57958,0.81749,0.80514,0.58247,1.12609,1.10206,1.52787,0.00028278,0.00028278,0.00028278
23,569.921,1.23243,1.87658,1.57703,0.64534,0.83809,0.85529,0.65083,0.96588,0.97868,1.41051,0.000279245,0.000279245,0.000279245
24,594.756,1.22628,1.83742,1.57028,0.64253,0.84987,0.80568,0.58395,1.07526,1.02897,1.4948,0.000275711,0.000275711,0.000275711
25,619.704,1.20089,1.81071,1.55846,0.64854,0.80952,0.83034,0.62206,0.98232,0.96275,1.40425,0.000272177,0.000272177,0.000272177
26,644.695,1.17787,1.78794,1.52766,0.79684,0.8028,0.85233,0.65589,0.94216,0.9338,1.39313,0.000268642,0.000268642,0.000268642
27,669.69,1.19111,1.77563,1.54454,0.89322,0.719,0.86592,0.65919,0.99193,0.95717,1.44306,0.000265108,0.000265108,0.000265108
28,694.64,1.19318,1.73269,1.53499,0.86309,0.75592,0.83592,0.64196,0.96222,0.92797,1.39232,0.000261574,0.000261574,0.000261574
29,719.621,1.18643,1.7266,1.52298,0.84029,0.77858,0.83656,0.64733,0.92576,0.92181,1.3692,0.00025804,0.00025804,0.00025804
30,744.617,1.16386,1.72102,1.52366,0.70342,0.88803,0.88127,0.67716,0.95767,0.93638,1.40453,0.000254505,0.000254505,0.000254505
31,769.562,1.15538,1.6975,1.5122,0.81895,0.80077,0.87399,0.68128,0.93838,0.82859,1.37925,0.000250971,0.000250971,0.000250971
32,794.523,1.15055,1.64103,1.50209,0.92068,0.78132,0.88884,0.69903,0.90488,0.83727,1.36533,0.000247437,0.000247437,0.000247437
33,819.504,1.14386,1.65367,1.50324,0.68044,0.90533,0.84796,0.65491,0.91705,0.89753,1.37597,0.000243902,0.000243902,0.000243902
34,844.521,1.14023,1.6356,1.4993,0.89664,0.78265,0.86487,0.66553,0.94654,0.83086,1.37917,0.000240368,0.000240368,0.000240368
35,869.582,1.15233,1.61656,1.4933,0.73461,0.94101,0.89802,0.70746,0.90494,0.78693,1.3539,0.000236834,0.000236834,0.000236834
36,894.58,1.14445,1.5898,1.47481,0.69562,0.91652,0.87601,0.68536,0.90183,0.79969,1.33855,0.000233299,0.000233299,0.000233299
37,919.741,1.12974,1.57771,1.47588,0.72388,0.91429,0.87598,0.67695,0.94657,0.83276,1.3843,0.000229765,0.000229765,0.000229765
38,944.798,1.12458,1.56702,1.46623,0.78348,0.90991,0.89038,0.68769,0.93851,0.80512,1.36736,0.000226231,0.000226231,0.000226231
39,969.832,1.10975,1.55904,1.46514,0.79751,0.9167,0.90098,0.6969,0.91546,0.77568,1.33018,0.000222697,0.000222697,0.000222697
40,994.85,1.1194,1.55952,1.48223,0.7802,0.87975,0.9228,0.71288,0.91968,0.74761,1.34529,0.000219162,0.000219162,0.000219162
41,1019.95,1.10879,1.52967,1.4502,0.86217,0.85973,0.90203,0.70458,0.93665,0.79573,1.35708,0.000215628,0.000215628,0.000215628
42,1045.04,1.11012,1.51529,1.46593,0.80254,0.91128,0.90379,0.71161,0.90152,0.73988,1.32109,0.000212094,0.000212094,0.000212094
43,1070.25,1.09932,1.49939,1.44172,0.84356,0.87033,0.92321,0.71945,0.92471,0.72285,1.34091,0.000208559,0.000208559,0.000208559
44,1095.37,1.09658,1.46856,1.44907,0.85081,0.8481,0.91812,0.72805,0.86945,0.73549,1.32361,0.000205025,0.000205025,0.000205025
45,1120.5,1.07732,1.44423,1.43017,0.83233,0.90372,0.90007,0.70958,0.88161,0.72662,1.32619,0.000201491,0.000201491,0.000201491
46,1145.56,1.07412,1.43976,1.43586,0.77829,0.91557,0.93558,0.73486,0.90166,0.69292,1.32947,0.000197957,0.000197957,0.000197957
47,1170.64,1.08807,1.43742,1.4386,0.7727,0.92862,0.93298,0.72802,0.89669,0.71465,1.32713,0.000194422,0.000194422,0.000194422
48,1195.72,1.08261,1.39281,1.43026,0.91317,0.87027,0.93624,0.73623,0.90882,0.69751,1.3482,0.000190888,0.000190888,0.000190888
49,1220.94,1.07009,1.43295,1.42172,0.74775,0.95279,0.92277,0.72166,0.88754,0.72664,1.32131,0.000187354,0.000187354,0.000187354
50,1246.15,1.07021,1.39938,1.41855,0.82027,0.87545,0.92287,0.69099,1.04721,0.76242,1.44543,0.000183819,0.000183819,0.000183819
51,1271.2,1.05988,1.37527,1.41689,0.82409,0.94934,0.93677,0.7233,0.95832,0.69206,1.36384,0.000180285,0.000180285,0.000180285
52,1296.35,1.06027,1.37634,1.41737,0.77204,0.91551,0.93018,0.69337,1.02018,0.7177,1.42016,0.000176751,0.000176751,0.000176751
53,1321.46,1.04388,1.34853,1.40193,0.9279,0.8616,0.9363,0.74135,0.88517,0.64683,1.31981,0.000173216,0.000173216,0.000173216
54,1346.71,1.0365,1.34552,1.4032,0.86817,0.9004,0.93678,0.7262,0.92636,0.66212,1.34246,0.000169682,0.000169682,0.000169682
55,1371.79,1.05192,1.3363,1.39825,0.83308,0.92827,0.94996,0.75859,0.87329,0.65546,1.29934,0.000166148,0.000166148,0.000166148
56,1396.86,1.03447,1.34127,1.39393,0.90766,0.89757,0.94032,0.74703,0.86885,0.63654,1.29531,0.000162613,0.000162613,0.000162613
57,1421.93,1.0291,1.30732,1.39104,0.85348,0.9419,0.9545,0.75288,0.86019,0.62526,1.29117,0.000159079,0.000159079,0.000159079
58,1447.1,1.03927,1.31232,1.39068,0.90536,0.90467,0.95333,0.75648,0.85676,0.64053,1.28547,0.000155545,0.000155545,0.000155545
59,1472.25,1.03338,1.29922,1.39468,0.84933,0.94204,0.94336,0.75517,0.85283,0.60883,1.28927,0.000152011,0.000152011,0.000152011
60,1497.42,1.03921,1.29328,1.39294,0.82489,0.93553,0.94688,0.7544,0.85508,0.6192,1.28384,0.000148476,0.000148476,0.000148476
61,1522.62,1.02131,1.25674,1.37449,0.80969,0.94158,0.94442,0.74286,0.89799,0.64151,1.31489,0.000144942,0.000144942,0.000144942
62,1547.8,1.02817,1.28437,1.38903,0.85581,0.96279,0.9549,0.76111,0.8491,0.58389,1.27801,0.000141408,0.000141408,0.000141408
63,1573.02,1.00383,1.25223,1.37869,0.83674,0.95566,0.95068,0.73999,0.90784,0.64241,1.32848,0.000137873,0.000137873,0.000137873
64,1598.14,1.01547,1.23454,1.38038,0.8645,0.95826,0.95294,0.73291,0.91948,0.61191,1.32244,0.000134339,0.000134339,0.000134339
65,1623.29,1.02605,1.25348,1.3746,0.92113,0.92565,0.95848,0.75409,0.86947,0.58535,1.28855,0.000130805,0.000130805,0.000130805
66,1648.45,1.01687,1.25883,1.37712,0.89922,0.94964,0.95215,0.75375,0.87188,0.59495,1.29472,0.000127271,0.000127271,0.000127271
67,1673.62,1.00776,1.23314,1.37666,0.84704,0.95671,0.94952,0.74132,0.89352,0.60453,1.31561,0.000123736,0.000123736,0.000123736
68,1698.85,1.00048,1.23331,1.36652,0.8881,0.95976,0.95828,0.75117,0.89019,0.59166,1.31242,0.000120202,0.000120202,0.000120202
69,1724.05,0.98418,1.19742,1.35414,0.88556,0.94489,0.96037,0.75615,0.88678,0.59916,1.30502,0.000116668,0.000116668,0.000116668
70,1749.3,1.009,1.24357,1.38353,0.88833,0.94594,0.95952,0.7583,0.87741,0.61127,1.29435,0.000113133,0.000113133,0.000113133
71,1774.56,0.99941,1.21534,1.37065,0.88713,0.93549,0.96524,0.76449,0.8652,0.57999,1.28987,0.000109599,0.000109599,0.000109599
72,1799.97,0.98733,1.21992,1.36187,0.87862,0.94607,0.95396,0.76664,0.83542,0.57252,1.26218,0.000106065,0.000106065,0.000106065
73,1825.19,0.97509,1.18365,1.35893,0.88714,0.96276,0.96542,0.7767,0.83376,0.54785,1.26515,0.00010253,0.00010253,0.00010253
74,1850.51,0.99383,1.18961,1.36211,0.8917,0.94382,0.95454,0.77187,0.8207,0.56289,1.25463,9.89961e-05,9.89961e-05,9.89961e-05
