epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7894,2.87511,5.18834,3.56422,0.00018,0.0464,0.00016,3e-05,2.92202,28.6596,12.0275,0.0703158,0.00329825,0.00329825
2,44.68,2.43371,4.77765,3.05731,0.00039,0.11244,0.00078,0.00016,3.04138,6.37552,3.92796,0.0402501,0.00656593,0.00656593
3,68.2002,2.34013,4.51327,3.00374,0.00385,0.2123,0.01765,0.0065,2.74257,5.02965,3.78035,0.0101185,0.00976761,0.00976761
4,91.6554,2.26288,4.26854,2.92348,0.19945,0.01624,0.00937,0.00307,2.75901,5.10224,3.4995,0.009703,0.009703,0.009703
5,116.003,2.19691,4.10746,2.8695,0.00059,0.09153,0.00156,0.00066,2.74046,5.30647,3.44949,0.009604,0.009604,0.009604
6,139.9,2.15019,4.02952,2.81925,0.01543,0.41097,0.04199,0.01874,2.08831,3.53773,2.8876,0.009505,0.009505,0.009505
7,164.683,2.10677,3.96186,2.77374,0.00286,0.71551,0.03467,0.01411,2.3399,3.93021,3.21035,0.009406,0.009406,0.009406
8,188.728,2.02897,3.7642,2.70545,0.00899,0.65881,0.06245,0.0223,2.2524,3.88645,3.07887,0.009307,0.009307,0.009307
9,215.041,2.01217,3.67533,2.64668,0.04108,0.28047,0.06415,0.02907,2.09859,3.72364,2.93358,0.009208,0.009208,0.009208
10,240.179,1.95201,3.61925,2.59736,0.44505,0.15235,0.07143,0.02492,2.48995,5.60958,3.98594,0.009109,0.009109,0.009109
11,264.808,1.91696,3.6393,2.58128,0.00851,0.93294,0.08481,0.04248,1.94216,3.13746,2.80728,0.00901,0.00901,0.00901
12,290.272,1.83534,3.51695,2.4868,0.46894,0.10624,0.11067,0.04594,2.06003,3.308,2.87711,0.008911,0.008911,0.008911
13,315.433,1.82078,3.4308,2.45867,0.27012,0.15209,0.12665,0.06396,1.69749,3.34065,2.55266,0.008812,0.008812,0.008812
14,339.757,1.79111,3.44085,2.46555,0.66639,0.02823,0.0931,0.04536,2.18509,3.88122,3.08997,0.008713,0.008713,0.008713
15,363.971,1.78209,3.41792,2.43335,0.51769,0.07735,0.10925,0.04989,2.25019,3.52743,3.17999,0.008614,0.008614,0.008614
16,388.859,1.74197,3.33374,2.40521,0.35507,0.24109,0.17852,0.11023,1.52389,2.80334,2.42701,0.008515,0.008515,0.008515
17,413.097,1.68741,3.24511,2.35452,0.48897,0.10162,0.11108,0.04521,2.03362,3.20134,2.94361,0.008416,0.008416,0.008416
18,437.364,1.67447,3.2951,2.32036,0.4761,0.16799,0.13617,0.06116,1.75663,3.38755,2.54953,0.008317,0.008317,0.008317
19,461.98,1.62764,3.23266,2.29917,0.33402,0.20079,0.16207,0.08921,1.57576,2.89622,2.42415,0.008218,0.008218,0.008218
20,486.068,1.64585,3.27501,2.32091,0.41228,0.04843,0.08511,0.03696,1.84754,3.57994,2.67255,0.008119,0.008119,0.008119
21,511.611,1.63665,3.23078,2.28325,0.40478,0.15644,0.12591,0.06506,2.04153,3.18178,2.90299,0.00802,0.00802,0.00802
22,536.03,1.60511,3.10559,2.27953,0.42258,0.13507,0.17067,0.09217,1.59598,2.88192,2.48268,0.007921,0.007921,0.007921
23,560.41,1.60176,3.12471,2.26891,0.21605,0.31855,0.18432,0.10034,1.67104,2.69503,2.50468,0.007822,0.007822,0.007822
24,584.395,1.58918,3.13633,2.24966,0.36445,0.1096,0.17052,0.08972,1.8351,3.29322,2.64513,0.007723,0.007723,0.007723
25,609.382,1.49484,3.01439,2.17674,0.28219,0.2383,0.23722,0.12795,1.69177,2.70551,2.48386,0.007624,0.007624,0.007624
26,634.268,1.53498,3.04952,2.21418,0.49323,0.21343,0.21909,0.12424,1.58344,2.75849,2.41606,0.007525,0.007525,0.007525
27,658.976,1.48874,3.0065,2.15257,0.34149,0.20833,0.17052,0.09575,1.63864,2.87962,2.4831,0.007426,0.007426,0.007426
28,683.491,1.56164,3.0645,2.21471,0.35119,0.34417,0.1956,0.10854,1.73233,2.86038,2.66326,0.007327,0.007327,0.007327
29,708.269,1.46494,2.9368,2.14475,0.26318,0.26747,0.23204,0.14516,1.40657,2.44974,2.25231,0.007228,0.007228,0.007228
30,732.778,1.50548,3.0162,2.1536,0.23678,0.29151,0.23276,0.12123,1.85403,2.81612,2.76983,0.007129,0.007129,0.007129
31,757.675,1.44972,2.94137,2.12209,0.23301,0.3209,0.21397,0.12187,1.64255,2.55545,2.5298,0.00703,0.00703,0.00703
32,782.692,1.47305,2.93834,2.16486,0.45457,0.10482,0.11767,0.06137,1.93856,3.59585,2.78955,0.006931,0.006931,0.006931
33,808.085,1.4027,2.87459,2.07997,0.3667,0.3526,0.27641,0.1853,1.24934,2.29883,2.04443,0.006832,0.006832,0.006832
34,833.297,1.38909,2.82687,2.05276,0.36664,0.37824,0.28477,0.19278,1.29992,2.21543,2.16214,0.006733,0.006733,0.006733
35,859.066,1.37331,2.77699,2.04772,0.18869,0.48224,0.29082,0.20091,1.24177,2.26502,2.08814,0.006634,0.006634,0.006634
36,884.233,1.34648,2.73238,2.02006,0.25835,0.41463,0.29213,0.19373,1.32768,2.22722,2.13381,0.006535,0.006535,0.006535
37,909.25,1.3802,2.76328,2.04962,0.35754,0.31675,0.23559,0.15465,1.48842,2.72109,2.29719,0.006436,0.006436,0.006436
38,935.032,1.35698,2.74355,2.01943,0.27813,0.45873,0.31696,0.20905,1.29081,2.30683,2.1661,0.006337,0.006337,0.006337
39,960.801,1.34059,2.70749,2.01124,0.15223,0.27444,0.22471,0.13021,1.67777,2.71488,2.45655,0.006238,0.006238,0.006238
40,986.213,1.3224,2.71147,1.98893,0.20796,0.42962,0.31558,0.21687,1.1961,2.29405,2.04819,0.006139,0.006139,0.006139
41,1011.05,1.30781,2.64455,1.98524,0.25173,0.48321,0.34088,0.2441,1.1278,2.15451,1.98235,0.00604,0.00604,0.00604
42,1036.07,1.31011,2.63688,1.97787,0.24203,0.39732,0.3221,0.20964,1.43929,2.29454,2.22862,0.005941,0.005941,0.005941
43,1060.95,1.31078,2.60753,1.97237,0.19225,0.45883,0.30791,0.19678,1.21321,2.14624,2.04005,0.005842,0.005842,0.005842
